SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP17,G3,P01,28-01-2021 00:00,8246,294,318
SP25,G3,P01,03-02-2021 00:00,6475,431,240
SP15,G3,P01,04-02-2021 00:00,5803,299,194
SP11,G3,P01,24-02-2021 00:00,3647,220,141
SP14,G3,P01,08-03-2021 00:00,1358,99,53
SP19,G3,P01,12-03-2021 00:00,1309,237,49
SP20,G3,P01,24-03-2021 00:00,5299,203,204
SP05,G3,P01,24-03-2021 00:00,5327,2,184
SP06,G3,P01,24-05-2021 00:00,9093,28,304
SP02,G3,P01,24-05-2021 00:00,8610,47,278
SP23,G3,P01,01-06-2021 00:00,10248,65,380
SP22,G3,P01,03-06-2021 00:00,5264,594,211
SP07,G3,P01,11-06-2021 00:00,5502,18,240
SP03,G3,P01,15-06-2021 00:00,1799,76,60
SP09,G3,P01,25-06-2021 00:00,2856,197,99
SP21,G3,P01,28-06-2021 00:00,3129,177,126
SP12,G3,P01,07-07-2021 00:00,511,295,20
SP16,G3,P01,12-07-2021 00:00,1813,31,73
SP01,G3,P01,06-08-2021 00:00,4592,84,192
SP08,G3,P01,16-08-2021 00:00,7959,84,319
SP24,G3,P01,04-11-2021 00:00,14882,183,532
SP04,G3,P01,15-11-2021 00:00,994,51,40
SP13,G3,P01,25-11-2021 00:00,8141,66,291
SP10,G3,P01,20-12-2021 00:00,5292,200,183
SP18,G3,P01,29-12-2021 00:00,1162,232,41
SP21,G3,P01,11-01-2022 00:00,2282,37,163
SP25,G3,P01,13-01-2022 00:00,6811,153,379
SP15,G3,P01,19-01-2022 00:00,3409,487,244
SP14,G3,P01,25-01-2022 00:00,1008,212,68
SP06,G3,P01,18-10-2021 00:00,4452,145,371
SP05,G3,P01,22-06-2021 00:00,12089,14,1099
SP24,G3,P01,03-11-2021 00:00,1071,286,108
SP09,G3,P01,19-10-2021 00:00,3024,37,336
SP03,G3,P01,07-07-2021 00:00,17885,32,1626
SP01,G3,P01,28-01-2021 00:00,4977,314,553
SP04,G3,P01,30-12-2021 00:00,3829,85,426
SP11,G3,P01,21-02-2022 00:00,1057,228,106
SP23,G3,P01,19-11-2021 00:00,10920,99,993
SP20,G3,P01,05-08-2021 00:00,1148,413,105
SP10,G3,P01,09-04-2021 00:00,11655,117,1060
SP18,G3,P01,28-12-2021 00:00,8316,375,693
SP15,G3,P01,17-05-2021 00:00,12117,166,1347
SP21,G3,P01,12-04-2021 00:00,504,10,46
SP08,G3,P01,01-04-2021 00:00,11382,352,1035
SP22,G3,P01,30-09-2021 00:00,931,196,78
SP12,G3,P01,29-12-2021 00:00,2387,210,266
SP14,G3,P01,31-12-2021 00:00,5894,43,536
SP07,G3,P01,11-08-2021 00:00,11711,107,976
SP02,G3,P01,20-05-2021 00:00,700,66,59
SP13,G3,P01,07-10-2021 00:00,462,277,39
SP25,G3,P01,31-12-2021 00:00,1645,118,150
SP16,G3,P01,06-08-2021 00:00,9268,129,773
SP19,G3,P01,27-10-2021 00:00,9429,130,858
SP17,G3,P01,14-05-2021 00:00,13559,234,1507
SP06,G3,P01,25-01-2022 00:00,7308,44,457
SP05,G3,P01,29-03-2022 00:00,2912,512,182
SP24,G3,P01,06-01-2022 00:00,12089,325,806
